mistake,correction,example
Lose vs Loose,Lose / Loose,❌ Be careful not to loose your keys. / ✅ Be careful not to lose your keys.
Quite vs Quiet,Quite / Quiet,❌ The room is quite loud today. / ✅ The room is quiet today.
Stationary vs Stationery,Stationary / Stationery,❌ The car remained stationary. / ✅ I bought stationery for school.
Discreet vs Discrete,Discreet / Discrete,❌ She was very discreet about the matter. / ✅ She was very discrete about the matter.
Elicit vs Illicit,Elicit / Illicit,❌ The joke elicited laughter. / ✅ The drug is illicit.
Faint vs Feint,Faint / Feint,❌ I saw a faint outline. / ✅ He made a feint to the left.
Principal vs Principle,Principal / Principle,❌ The principal address is tomorrow. / ✅ The principle of honesty is important.
Stationary vs Stationery,Stationary / Stationery,❌ He stayed stationary during the race. / ✅ He bought stationery for his office.
Sense vs Cents,Sense / Cents,❌ It makes sense to save more money. / ✅ That costs fifty cents.
Breath vs Breathe,Breath / Breathe,❌ Take a deep breath before speaking. / ✅ You need to breathe more easily.
Dual vs Duel,Dual / Duel,❌ They have a dual purpose. / ✅ They fought a duel.
Elicit vs Illicit,Elicit / Illicit,❌ The survey elicited many responses. / ✅ The drug is illicit.
Weather vs Whether,Weather / Whether,❌ The weather is nice today. / ✅ I wonder whether it will rain.
Accept vs Except,Accept / Except,❌ Everyone accept John came to the party. / ✅ Everyone except John came.
Compliment vs Complement,Compliment / Complement,❌ She gave a compliment on my dress. / ✅ This will complement your skills.
Do vs Due,Do / Due,❌ My homework isn't do yet. / ✅ My homework isn't due yet.
Fewer vs Less,Fewer / Less,❌ There are fewer options available. / ✅ There is less water left.
Knew vs New,Knew / New,❌ I knew about the event. / ✅ I bought a new phone.
Lead vs Led,Lead / Led,❌ She will lead the team tomorrow. / ✅ She led the team yesterday.
Loose vs Lose,Loose / Lose,❌ My shirt is too loose. / ✅ I don't want to lose that document.
Principal vs Principle,Principal / Principle,❌ The principal of the school addressed the issue. / ✅ The principle of fairness is important.
Stationary vs Stationery,Stationery / Stationery,❌ I need new stationery supplies. / ✅ I stayed stationary during the game.
Than vs Then,Than / Then,❌ She is taller then her brother. / ✅ She is taller than her brother.
Their vs There,Their / There,❌ There going to be a delay. / ✅ They're going to be late.
You're vs Your,You're / Your,❌ Your going to love this. / ✅ You're going to love this.
Weather vs Whether,Weather / Whether,❌ We should check the weather forecast. / ✅ I can't decide whether to stay or go.
Your vs You're,Your / You're,❌ Your late for the appointment. / ✅ You're late for the appointment.
Brakes vs Breaks,Brakes / Breaks,❌ The car's brakes need repair. / ✅ He took a break from work.
Overdue vs Overdo,Overdue / Overdo,❌ The library book is overdue. / ✅ Don't overdo it at the gym.
Site vs Sight,Site / Sight,❌ The construction site is busy today. / ✅ The view is a beautiful sight.
Peace vs Piece,Peace / Piece,❌ I wish for peace in the world. / ✅ Can I have a piece of cake?
Practice vs Practise,Practice / Practise,❌ I need more practice. / ✅ I will practises my piano tonight.
Effect vs Affect,Effect / Affect,❌ The medicine had an immediate effect. / ✅ The news affected him deeply.
Their vs They're,Their / They're,❌ Their coming to the party. / ✅ They're coming to the party.
Complement vs Compliment,Complement / Compliment,❌ His skills complement the team well. / ✅ She paid him a compliment.
I have went,I have gone,❌ I have went to the store. / ✅ I have gone to the store.
Could care less,Couldn't care less,❌ I could care less about that. / ✅ I couldn't care less about that.
Who vs That,Who / That,❌ She is the person that helped me. / ✅ She is the person who helped me.
Between you and I,Between you and me,"❌ Between you and I, this is a secret. / ✅ Between you and me, this is a secret."
Hanged vs Hung,Hung / Hanged,❌ The man was hung for his crimes. / ✅ The man was hanged for his crimes.
Less vs Least,Less / Least,❌ This is less important. / ✅ This is the least important.
Could of,Could have,❌ He could of gone earlier. / ✅ He could have gone earlier.
I could of done it,I could have done it,❌ I could of done better. / ✅ I could have done better.
Besides vs Beside,Besides / Beside,"❌ Besides the point, your idea is good. / ✅ Beside the point, your idea is good."
Lead vs Led,Lead / Led,❌ He lead the team yesterday. / ✅ He led the team yesterday.
Try and vs Try to,Try to,❌ I will try and call you. / ✅ I will try to call you.
Wanna vs Want to,Want to,❌ I wanna go now. / ✅ I want to go now.
Amount vs Number,Amount / Number,❌ The amount of people was large. / ✅ The number of people was large.
Loose vs Lose,Loose / Lose,❌ Don't loose your keys. / ✅ Don't lose your keys.
Less vs Fewer,Less / Fewer,❌ There are less chairs than before. / ✅ There are fewer chairs than before.
Irregardless,Regardless,"❌ Irregardless of the rules, do it. / ✅ Regardless of the rules, do it."
Them vs Those,Them / Those,❌ Them books are mine. / ✅ Those books are mine.
Ain't vs Isn't,Isn't,❌ She ain't here. / ✅ She isn't here.
Should of,Should have,❌ You should of told me. / ✅ You should have told me.
Good vs Well,Good / Well,❌ She did good on the test. / ✅ She did well on the test.
Where vs Were,Where / Were,❌ They where late. / ✅ They were late.
Their vs There,Their / There,❌ Their is my book. / ✅ There is my book.
Me vs I,Me / I,❌ Me and her went to the market. / ✅ She and I went to the market.
Whose vs Who's,Whose / Who's,❌ Whose coming to dinner? / ✅ Who's coming to dinner?
Lay vs Lie,Lay / Lie,❌ I need to lay down. / ✅ I need to lie down.
Bring vs Take,Bring / Take,❌ Please bring this to your house. / ✅ Please take this to your house.
Amount vs Number,Amount / Number,❌ The amount of apples is high. / ✅ The number of apples is high.
Compliment vs Complement,Compliment / Complement,❌ That hat complements your outfit. / ✅ That hat complements your outfit.
Everyday vs Every day,Everyday / Every day,❌ I wear this shirt everyday. / ✅ I wear this shirt every day.
Then vs Than,Then / Than,❌ I am taller then you. / ✅ I am taller than you.
Passed vs Past,Passed / Past,❌ He past the exam. / ✅ He passed the exam.
Personal vs Personnel,Personal / Personnel,❌ Personal files are confidential. / ✅ Personnel files are sensitive.
Principal vs Principle,Principal / Principle,❌ The principle of the school spoke today. / ✅ The principal of the school spoke today.
Allusion vs Illusion,Allusion / Illusion,❌ The movie gave an illusion to Shakespeare. / ✅ The movie gave an allusion to Shakespeare.
Assure vs Ensure vs Insure,Assure / Ensure / Insure,❌ I will insure you that it's safe. / ✅ I will assure you that it's safe.
Among vs Between,Among / Between,❌ Choose among the two options. / ✅ Choose between the two options.
Continual vs Continuous,Continual / Continuous,❌ The noise was continual. / ✅ The noise was continuous.
Defuse vs Diffuse,Defuse / Diffuse,❌ We need to diffuse the situation. / ✅ We need to defuse the situation.
Economic vs Economical,Economic / Economical,❌ It's more economic to buy in bulk. / ✅ It's more economical to buy in bulk.
Farther vs Further,Farther / Further,❌ We need to walk further. / ✅ We need to walk farther.
Imply vs Infer,Imply / Infer,❌ I infer from her statement that she is upset. / ✅ I imply that she is upset.
It's vs Its,It's / Its,❌ Its a great day. / ✅ It's a great day.
Lead vs Led,Lead / Led,❌ They will led the project. / ✅ They will lead the project.
Moral vs Morale,Moral / Morale,❌ The moral of the story was clear. / ✅ The team's morale was high.
Raise vs Rise,Raise / Rise,❌ The sun will raise soon. / ✅ The sun will rise soon.
Stationary vs Stationery,Stationary / Stationery,❌ The stationery bike is broken. / ✅ The stationary bike is broken.
Waive vs Wave,Waive / Wave,❌ I will wave my rights. / ✅ I will waive my rights.
Your vs You're,Your / You're,❌ Your late again. / ✅ You're late again.
Could of vs Could have,Could have,❌ I could of helped you. / ✅ I could have helped you.
Lead vs Led,Lead / Led,"❌ Yesterday, she lead the meeting. / ✅ Yesterday, she led the meeting."
Literally vs Figuratively,Literally / Figuratively,❌ I literally died laughing. / ✅ I figuratively died laughing.
Myself vs Me,Myself / Me,❌ Please contact John or myself. / ✅ Please contact John or me.
Different from vs Different than,Different from / Different than,❌ This is different than I expected. / ✅ This is different from what I expected.
Whatever vs What ever,Whatever,❌ You can do what ever you want. / ✅ You can do whatever you want.
Assume vs Presume,Assume / Presume,❌ I assume he is at home. / ✅ I presume he is at home.
Between you and I,Between you and me,"❌ Between you and I, it’s a secret. / ✅ Between you and me, it’s a secret."
Envy vs Jealous,Envy / Jealous,❌ I am jealous of her success. / ✅ I envy her success.
Amount vs Number,Amount / Number,❌ The amount of students is large. / ✅ The number of students is large.
All right vs Alright,All right / Alright,❌ That's alright with me. / ✅ That's all right with me.
Between vs Among,Between / Among,❌ Choose among two options. / ✅ Choose between two options.
Bring vs Take,Bring / Take,❌ Please bring the book to your house. / ✅ Please take the book to your house.
Confident vs Confidant,Confident / Confidant,❌ She is my confident. / ✅ She is my confidant.
Could of vs Could have,Could have,❌ You could of helped. / ✅ You could have helped.
Each other vs One another,Each other / One another,❌ They looked at one another’s eyes. / ✅ They looked into each other's eyes.
Everyday vs Every day,Everyday / Every day,❌ I wear this shirt everyday. / ✅ I wear this shirt every day.
Farther vs Further,Farther / Further,❌ We can talk further about this. / ✅ We can talk further about this.
Good vs Well,Good / Well,❌ She plays good. / ✅ She plays well.
Its vs It's,Its / It's,❌ Its raining outside. / ✅ It's raining outside.
Lay vs Lie,Lay / Lie,❌ I will lay down now. / ✅ I will lie down now.
Like vs As,Like / As,❌ She sings like a professional. / ✅ She sings as a professional.
Me vs I,Me / I,❌ Me and him are coming. / ✅ He and I are coming.
Of vs Have,Of / Have,❌ I should of called you. / ✅ I should have called you.
Or vs Nor,Or / Nor,❌ I don’t want coffee or tea. / ✅ I don’t want coffee nor tea.
Passed vs Past,Passed / Past,❌ We walked passed the house. / ✅ We walked past the house.
Principal vs Principle,Principal / Principle,❌ The principle of the school is strict. / ✅ The principal of the school is strict.
Than vs Then,Than / Then,❌ She is taller then me. / ✅ She is taller than me.
Their vs There,Their / There,❌ Their going home. / ✅ They’re going home.
To vs Too,To / Too,❌ I want to come too. / ✅ I want to come too.
Weather vs Whether,Weather / Whether,❌ We don’t know weather he will come. / ✅ We don’t know whether he will come.
Who vs Whom,Who / Whom,❌ Whom is calling me? / ✅ Who is calling me?
Your vs You're,Your / You're,❌ Your the best! / ✅ You're the best!
Accept vs Except,Accept / Except,❌ Everyone accept John was there. / ✅ Everyone except John was there.
Affect vs Effect,Affect / Effect,❌ The effect of the news affected me. / ✅ The effect of the news was clear.
Already vs All ready,Already / All ready,❌ We are all ready to go. / ✅ We are already going.
Any more vs Anymore,Any more / Anymore,❌ I don’t want any more trouble. / ✅ I don’t want any more trouble.
Bad vs Badly,Bad / Badly,❌ He did bad on the test. / ✅ He did badly on the test.
Bring vs Take,Bring / Take,❌ Bring this to the party. / ✅ Take this to the party.
Could of vs Could have,Could have,❌ She could of helped. / ✅ She could have helped.
Different from vs Different than,Different from / Different than,❌ It’s different than I thought. / ✅ It’s different from what I thought.
Discreet vs Discrete,Discreet / Discrete,❌ Be discreet about the plans. / ✅ Be discreet about the plans.
Either vs Neither,Either / Neither,❌ Neither of the options are good. / ✅ Neither of the options is good.
Each other vs One another,Each other / One another,❌ They spoke to one another. / ✅ They spoke to each other.
Farther vs Further,Farther / Further,❌ He ran farther than me. / ✅ He ran further than me.
Good vs Well,Good / Well,❌ She dances good. / ✅ She dances well.
Have vs Of,Have / Of,❌ I should of known better. / ✅ I should have known better.
Historic vs Historical,Historic / Historical,❌ It was a historical event. / ✅ It was a historic event.
Imply vs Infer,Imply / Infer,❌ I infer that you’re leaving. / ✅ I imply that you’re leaving.
Irregardless vs Regardless,Irregardless / Regardless,❌ Irregardless of the cost... / ✅ Regardless of the cost...
Its vs It’s,Its / It’s,❌ Its going to rain. / ✅ It’s going to rain.
Lay vs Lie,Lay / Lie,❌ I need to lay down now. / ✅ I need to lie down now.
Lead vs Led,Lead / Led,❌ She lead the team yesterday. / ✅ She led the team yesterday.
Less vs Fewer,Less / Fewer,❌ There are less cars here. / ✅ There are fewer cars here.
All ready vs Already,All ready / Already,❌ They are already to leave. / ✅ They are all ready to leave.
As good as vs Like,As good as / Like,❌ She sings like a professional. / ✅ She sings as good as a professional.
Bad vs Badly,Bad / Badly,❌ He feels bad today. / ✅ He feels badly today.
Bring vs Take,Bring / Take,❌ Can you bring this to the office? / ✅ Can you take this to the office?
Could of vs Could have,Could have,❌ They could of helped us. / ✅ They could have helped us.
Different than vs Different from,Different from / Different than,❌ This is different than I expected. / ✅ This is different from what I expected.
Discreet vs Discrete,Discreet / Discrete,❌ Be discreet when talking. / ✅ Be discreet when talking.
Effect vs Affect,Effect / Affect,❌ How will the news affect the effect? / ✅ How will the news affect the outcome?
Emigrate vs Immigrate,Emigrate / Immigrate,❌ She emigrated to the USA last year. / ✅ She immigrated to the USA last year.
Farther vs Further,Farther / Further,❌ We need to think farther about this. / ✅ We need to think further about this.
Fewer vs Less,Fewer / Less,❌ There are less cars than before. / ✅ There are fewer cars than before.
Good vs Well,Good / Well,❌ She did good on the test. / ✅ She did well on the test.
Hanged vs Hung,Hanged / Hung,❌ The picture was hung on the wall. / ✅ The picture was hung on the wall.
I.e. vs E.g.,i.e. / e.g.,"❌ Bring something to eat, i.e. a sandwich or salad. / ✅ Bring something to eat, e.g., a sandwich or salad."
Its vs It's,Its / It's,❌ Its a beautiful day. / ✅ It's a beautiful day.
Lay vs Lie,Lay / Lie,❌ I need to lay down for a while. / ✅ I need to lie down for a while.
Less vs Fewer,Less / Fewer,❌ Use less cups. / ✅ Use fewer cups.
Loose vs Lose,Loose / Lose,❌ Don’t loose your keys. / ✅ Don’t lose your keys.
Me vs I,Me / I,❌ Me and John went shopping. / ✅ John and I went shopping.
Moral vs Morale,Moral / Morale,❌ The moral of the story is clear. / ✅ The team's morale is high.
Passed vs Past,Passed / Past,❌ She passed by my house yesterday. / ✅ She passed the exam yesterday.
Persecute vs Prosecute,Persecute / Prosecute,❌ He was prosecuted for his faith. / ✅ He was persecuted for his faith.
Principal vs Principle,Principal / Principle,❌ The principle of the school retired. / ✅ The principal of the school retired.
Quiet vs Quite,Quiet / Quite,❌ It was quite in the room. / ✅ It was quiet in the room.
Raise vs Rise,Raise / Rise,❌ The sun will raise at 6 a.m. / ✅ The sun will rise at 6 a.m.
Respectfully vs Respectively,Respectfully / Respectively,"❌ They are John and Mike, respectfully. / ✅ They are John and Mike, respectively."
Stationary vs Stationery,Stationary / Stationery,❌ I bought stationeries today. / ✅ I bought stationery today.
Than vs Then,Than / Then,❌ I would rather go then stay. / ✅ I would rather go than stay.
Their vs There,Their / There,❌ Their is a problem with that. / ✅ There is a problem with that.
To vs Too,To / Too,❌ I want to go too. / ✅ I want to go too.
Weather vs Whether,Weather / Whether,❌ I don’t know weather to go or stay. / ✅ I don’t know whether to go or stay.
Who vs Whom,Who / Whom,❌ Whom is at the door? / ✅ Who is at the door?
Your vs You're,Your / You're,❌ Your going to love this. / ✅ You're going to love this.
You’re vs Your,You're / Your,❌ Your the best friend ever. / ✅ You're the best friend ever.
A lot vs Alot,A lot / Alot,❌ She likes him alot. / ✅ She likes him a lot.
Accept vs Except,Accept / Except,❌ Everyone accept him was there. / ✅ Everyone except him was there.
Advice vs Advise,Advice / Advise,❌ Please advice me on this matter. / ✅ Please advise me on this matter.
Affect vs Effect,Affect / Effect,❌ How will the effect affect us? / ✅ How will the effect affect us?
Allusion vs Illusion,Allusion / Illusion,❌ The book made an illusion to history. / ✅ The book made an allusion to history.
Always vs All ways,Always / All ways,❌ He always takes the same route. / ✅ He takes all ways to the destination.
Among vs Between,Among / Between,❌ Choose between the group. / ✅ Choose among the group.
Amount vs Number,Amount / Number,❌ The amount of people is large. / ✅ The number of people is large.
Anyway vs Any way,Anyway / Any way,❌ I did it anyway I could. / ✅ I did it any way I could.
Assure vs Ensure,Assure / Ensure,❌ I assure you that it will happen. / ✅ I ensure that it will happen.
Bring vs Take,Bring / Take,❌ Bring this with you to my place. / ✅ Take this with you to my place.
Can't hardly vs Can hardly,Can hardly,❌ I can't hardly wait. / ✅ I can hardly wait.
Compliment vs Complement,Compliment / Complement,❌ That shirt compliments your eyes. / ✅ That shirt complements your eyes.
Continual vs Continuous,Continual / Continuous,❌ There was a continual noise. / ✅ There was a continuous noise.
Adverse vs Averse,Adverse / Averse,❌ She is adverse to change. / ✅ She is averse to change.
All together vs Altogether,All together / Altogether,❌ Let's do this altogether. / ✅ Let's do this all together.
Allusion vs Illusion,Allusion / Illusion,❌ The movie created an illusion to history. / ✅ The movie created an allusion to history.
Bare vs Bear,Bare / Bear,❌ Don't bare with me. / ✅ Don't bear with me.
Breath vs Breathe,Breath / Breathe,❌ Take a deep breathe. / ✅ Take a deep breath.
Capital vs Capitol,Capital / Capitol,❌ Washington is the capital building. / ✅ Washington is the Capitol building.
Cite vs Site,Cite / Site,❌ Please cite your sources. / ✅ Please cite your sources.
Complement vs Compliment,Complement / Compliment,❌ That color compliments you. / ✅ That color complements you.
Continual vs Continuous,Continual / Continuous,❌ The noise was continual all night. / ✅ The noise was continuous all night.
Convince vs Persuade,Convince / Persuade,❌ I persuaded her to come. / ✅ I convinced her to come.
Council vs Counsel,Council / Counsel,❌ We need to counsel the mayor. / ✅ We need to council the mayor.
Discreet vs Discrete,Discreet / Discrete,❌ Be discrete about this. / ✅ Be discreet about this.
Elicit vs Illicit,Elicit / Illicit,❌ The law prohibits elicit drugs. / ✅ The law prohibits illicit drugs.
Eminent vs Imminent,Eminent / Imminent,❌ There is an eminent danger. / ✅ There is an imminent danger.
Envelop vs Envelope,Envelop / Envelope,❌ Please envelop this letter. / ✅ Please envelope this letter.
Fewer vs Less,Fewer / Less,❌ There are less apples. / ✅ There are fewer apples.
Flaunt vs Flout,Flaunt / Flout,❌ He likes to flout his wealth. / ✅ He likes to flaunt his wealth.
For vs Four,For / Four,❌ I need for apples. / ✅ I need four apples.
Gambit vs Gamut,Gambit / Gamut,❌ The artist showed a wide gambit of colors. / ✅ The artist showed a wide gamut of colors.
Imply vs Infer,Imply / Infer,❌ I infer from your comment. / ✅ I imply from your comment.
Ingenious vs Ingenuous,Ingenious / Ingenuous,❌ She had an ingenuous plan. / ✅ She had an ingenious plan.
Later vs Latter,Later / Latter,❌ I will attend the latter session. / ✅ I will attend the latter session.
Lay vs Lie,Lay / Lie,❌ I lay down now. / ✅ I lie down now.
Lead vs Led,Lead / Led,❌ She led the meeting yesterday. / ✅ She led the meeting yesterday.
Loathe vs Loath,Loathe / Loath,❌ I am loath to leave. / ✅ I loathe violence.
Loose vs Lose,Loose / Lose,❌ Don't lose your keys. / ✅ Don't lose your keys.
Nauseous vs Nauseated,Nauseous / Nauseated,❌ I feel nauseous. / ✅ I feel nauseated.
Passed vs Past,Passed / Past,❌ He past by my house. / ✅ He passed by my house.
Peace vs Piece,Peace / Piece,❌ I need a peace of cake. / ✅ I need a piece of cake.
Pedal vs Peddle,Pedal / Peddle,❌ He peddled his bike. / ✅ He pedaled his bike.
Persecute vs Prosecute,Persecute / Prosecute,❌ He was prosecuted for beliefs. / ✅ He was persecuted for beliefs.
Personal vs Personnel,Personal / Personnel,❌ Our personal files are secure. / ✅ Our personnel files are secure.
Perquisite vs Prerequisite,Perquisite / Prerequisite,❌ A perquisite for the job is experience. / ✅ A prerequisite for the job is experience.
Prescribe vs Proscribe,Prescribe / Proscribe,❌ The doctor proscribed medicine. / ✅ The doctor prescribed medicine.
Precede vs Proceed,Precede / Proceed,❌ The ceremony will proceed the speech. / ✅ The ceremony will precede the speech.
Quiet vs Quite,Quiet / Quite,❌ The room is quite loud. / ✅ The room is quiet.
Raise vs Rise,Raise / Rise,❌ Prices will raise soon. / ✅ Prices will rise soon.
Reign vs Rein,Reign / Rein,❌ The king will rein for 20 years. / ✅ The king will reign for 20 years.
Reluctant vs Reticent,Reluctant / Reticent,❌ She was reluctant to speak. / ✅ She was reticent to speak.
Respectfully vs Respectively,Respectfully / Respectively,"❌ The brothers, John and Joe, arrived respectfully. / ✅ The brothers, John and Joe, arrived respectively."
Stationary vs Stationery,Stationary / Stationery,❌ The stationary store is nearby. / ✅ The stationery store is nearby.
Than vs Then,Than / Then,❌ I will eat than leave. / ✅ I will eat then leave.
Their vs There,Their / There,❌ Their house is big. / ✅ Their house is big.
Too vs To,Too / To,❌ I want to go too. / ✅ I want to go too.
Waist vs Waste,Waist / Waste,❌ She tied a belt around her waste. / ✅ She tied a belt around her waist.
Weather vs Whether,Weather / Whether,"❌ Whether you come or not, I'll go. / ✅ Whether you come or not, I'll go."
Whose vs Who's,Whose / Who's,❌ Whose coming to the party? / ✅ Who's coming to the party?
Wrong vs Wring,Wrong / Wring,❌ Don’t wring the towels. / ✅ Don’t wring the towels.
Your vs You're,Your / You're,❌ Your right about that. / ✅ You're right about that.
Accept vs Except,Accept / Except,❌ Everyone accept John was there. / ✅ Everyone except John was there.
Amount vs Number,Amount / Number,❌ The amount of students is high. / ✅ The number of students is high.
Breath vs Breathe,Breath / Breathe,❌ Take a deep breathe. / ✅ Take a deep breath.
Choose vs Chose,Choose / Chose,❌ I chose the red one yesterday. / ✅ I choose the red one every time.
Different than vs Different from,Different from / Different than,❌ This is different than I thought. / ✅ This is different from what I thought.
Farther vs Further,Farther / Further,❌ We walked further than them. / ✅ We walked farther than them.
Good vs Well,Good / Well,❌ She sings good. / ✅ She sings well.
Its vs It's,Its / It's,❌ Its a nice day. / ✅ It's a nice day.
Lay vs Lie,Lay / Lie,❌ I need to lay down for a while. / ✅ I need to lie down for a while.
Less vs Fewer,Less / Fewer,❌ There are less apples today. / ✅ There are fewer apples today.
Loose vs Lose,Loose / Lose,❌ Don’t loose your keys. / ✅ Don’t lose your keys.
Me vs I,Me / I,❌ Me and him went to the store. / ✅ He and I went to the store.
Passed vs Past,Passed / Past,❌ He past the ball. / ✅ He passed the ball.
Passed vs Past,Passed / Past,"❌ In the past year, something happened. / ✅ In the past year, something happened."
Personal vs Personnel,Personal / Personnel,❌ All personnel files are confidential. / ✅ All personnel files are confidential.
Principal vs Principle,Principal / Principle,❌ The principle of the school spoke. / ✅ The principal of the school spoke.
Quiet vs Quite,Quiet / Quite,❌ It was quite in the library. / ✅ It was quiet in the library.
Raise vs Rise,Raise / Rise,❌ The sun will raise soon. / ✅ The sun will rise soon.
Than vs Then,Than / Then,❌ I will do that then. / ✅ I will do that then.
There vs Their,There / Their,❌ Their is no way to know. / ✅ There is no way to know.
Too vs To,Too / To,❌ She is going to the store too. / ✅ She is going to the store too.
Weather vs Whether,Weather / Whether,❌ I don’t know weather he will come. / ✅ I don’t know whether he will come.
Who vs Whom,Who / Whom,❌ Whom should I call? / ✅ Who should I call?
Your vs You're,Your / You're,❌ Your the best. / ✅ You're the best.
Would of vs Would have,Would have,❌ I would of helped you. / ✅ I would have helped you.
Amount vs Number,Amount / Number,❌ The amount of money is high. / ✅ The number of coins is high.
Bad vs Badly,Bad / Badly,❌ He did bad on the test. / ✅ He did badly on the test.
Capital vs Capitol,Capital / Capitol,"❌ The Capitol is in Washington, D.C. / ✅ The Capitol is in Washington, D.C."
Compliment vs Complement,Compliment / Complement,❌ She gave me a complement. / ✅ She gave me a compliment.
Discreet vs Discrete,Discreet / Discrete,❌ Be discrete about the plan. / ✅ Be discreet about the plan.
Emigrate vs Immigrate,Emigrate / Immigrate,❌ He emigrated to Canada. / ✅ He immigrated to Canada.
Envelop vs Envelope,Envelop / Envelope,❌ Please envelop the letter. / ✅ Please envelope the letter.
Fewer vs Less,Fewer / Less,❌ There was less people at the event. / ✅ There were fewer people at the event.
Good vs Well,Good / Well,❌ She plays good. / ✅ She plays well.
Hanged vs Hung,Hanged / Hung,❌ The picture was hanged. / ✅ The picture was hung.
Lay vs Lie,Lay / Lie,❌ I laid down for a bit. / ✅ I lay down for a bit.
Lie vs Lay,Lie / Lay,❌ I am going to lay down now. / ✅ I am going to lie down now.
Loose vs Lose,Loose / Lose,❌ His loose clothes were uncomfortable. / ✅ His loose clothes were uncomfortable.
Passed vs Past,Passed / Past,❌ We walked passed the park. / ✅ We walked past the park.
Passed vs Past,Passed / Past,❌ In the past we had more rain. / ✅ In the past we had more rain.
Principal vs Principle,Principal / Principle,❌ The school principle is strict. / ✅ The school principal is strict.
