situation,dialogue,context
Asking About the Bus Fare,"""A: How much is the fare to downtown?\nB: It’s $2.50.\nA: Thank you.\nB: You’re welcome!""",Getting information on public transport costs.
At a Car Rental Agency,"""A: I’d like to rent a sedan for the weekend.\nB: Do you have a driver’s license?\nA: Yes, here it is.\nB: Perfect, here’s the contract.""",Renting a vehicle.
Complimenting a Child,"""A: Your drawing is very colorful!\nB: Thank you!\nA: You must be very good at art.\nB: I like to draw.""",Praising a child's artwork.
Asking for a Wi-Fi Connection,"""A: Is there free Wi-Fi here?\nB: Yes, just connect to the network called 'Guest'.\nA: Thanks!\nB: No problem.""",Requesting internet access in a public place.
Asking About Pet Policies,"""A: Are pets allowed in this hotel?\nB: Yes, we allow small pets.\nA: Great, I have a small dog.\nB: That’s fine.""",Inquiring about bringing pets when staying at a hotel.
Checking Weather for Travel,"""A: What’s the weather like in New York?\nB: It’s sunny and warm.\nA: Perfect for my trip!\nB: Enjoy the weather.""",Confirming travel weather conditions.
At the Dry Cleaner,"""A: Can you clean this shirt by tomorrow?\nB: Yes, it will be ready.\nA: Thank you.\nB: You’re welcome.""",Dropping off clothes for cleaning.
Asking for Directions at a Mall,"""A: Where is the electronics store?\nB: It’s on the second floor near the food court.\nA: Thanks a lot!\nB: You’re welcome.""",Finding a store inside a shopping mall.
Talking About a New Hobby,"""A: I started painting recently.\nB: That sounds fun! What do you paint?\nA: Mostly landscapes.\nB: Nice!""",Sharing interests in hobbies.
Discussing a Movie Favorite,"""A: What’s your favorite movie?\nB: I loveLéon: The Professional.\nA: I haven’t seen it yet.\nB: You should watch it!""",Talking about favorite films.
Asking for a Band’s Album,"""A: Do you have the new album byBTS?\nB: Yes, right here.\nA: I’ll take one.\nB: Good choice.""",Buying music albums in a store.
Making a Complaint About Noise,"""A: The music is too loud in my room.\nB: Sorry for the inconvenience, I’ll have it turned down.\nA: Thanks.\nB: My apologies.""",Informing hotel staff about noise disturbance.
Asking for a Bus Schedule,"""A: What time is the last bus to the airport?\nB: At 11 PM.\nA: Thanks!\nB: Safe travels.""",Checking late-night public transportation times.
Buying a Birthday Gift,"""A: I need a gift for my niece’s birthday.\nB: How about this doll or the puzzle?\nA: She’d love the puzzle.\nB: Great choice!""",Selecting gifts for children.
Confirming a Doctor’s Prescription,"""A: Does this medicine need to be taken with food?\nB: Yes, after meals.\nA: Thanks for the info.\nB: You’re welcome.""",Clarifying medication instructions.
At a Car Repair Shop,"""A: My car is making a strange noise.\nB: We’ll check it now.\nA: Thanks for the quick help.\nB: No problem.""",Reporting a car problem for repair.
Asking About a Book’s Availability,"""A: Is the book百年孤独available here?\nB: Sorry, it is currently out of stock.\nA: When will it arrive?\nB: Next week.""",Inquiring about a specific book in a bookstore.
Introducing Yourself in a Meeting,"""A: Hi, I’m Sarah, the new marketing analyst.\nB: Welcome, Sarah! I’m John.\nA: Nice to meet you.\nB: Likewise!""",Introducing oneself in a professional setting.
Asking for Water at a Restaurant,"""A: Can I have a glass of water please?\nB: Of course, coming right up.\nA: Thank you.\nB: You’re welcome.""",Requesting water during a meal.
Confirming a Flight Time,"""A: What time does my flight to Tokyo depart?\nB: At 10 AM.\nA: Thanks!\nB: Have a safe flight.""",Checking flight schedule at an airport.
Asking for Directions in a Park,"""A: How do I get to the rose garden?\nB: Follow this path and take the second right.\nA: Thanks!\nB: Enjoy your walk.""",Finding a place inside a public park.
Greeting a Neighbor,"""A: Hello! How are you today?\nB: I’m good, thanks! And you?\nA: Doing well, thanks!\nB: Great to hear.""",Casual greeting between neighbors.
Asking About a Product’s Warranty,"""A: Does this TV come with a warranty?\nB: Yes, one year.\nA: Good to know.\nB: Let me know if you need anything.""",Checking warranty details before purchase.
Asking for Refund Policy,"""A: What is your refund policy?\nB: You can return items within 30 days.\nA: Thanks for the information.\nB: Happy to help.""",Inquiring about store policies.
Discussing a Favorite Book,"""A: Do you likeHarry Potter? \nB: Yes, it’s my favorite series.\nA: Mine too!\nB: Great taste!""",Sharing opinions about popular books.
Asking for Help Setting Up Tech,"""A: Can you help me set up my new router?\nB: Sure, let’s do it.\nA: Thanks!\nB: No problem at all.""",Getting assistance with technology setup.
Asking a Doctor About Symptoms,"""A: I have a sore throat and fever.\nB: You might have a cold, rest and drink fluids.\nA: Thank you, doctor.""",Describing symptoms during a medical consultation.
Making an Appointment at the Salon,"""A: I’d like a manicure appointment.\nB: Tomorrow at 4 PM is available.\nA: Perfect, please book it.\nB: Done!""",Booking a beauty treatment session.
Asking About a Movie Genre,"""A: Is this movie a comedy or drama?\nB: It’s a comedy.\nA: Sounds fun!\nB: It is!""",Clarifying movie type before watching.
Asking How to Get a Library Card,"""A: How do I get a library card?\nB: Fill out this form and show your ID.\nA: Great, thanks!\nB: You’re welcome.""",Registering for library membership.
Asking for More Time on a Test,"""A: Can I have extra time to finish the test?\nB: I will check with the supervisor.\nA: Thank you.\nB: You may have 30 extra minutes.""",Requesting accommodation during an exam.
Requesting Help Carrying Boxes,"""A: Could you help me carry these boxes?\nB: Sure, let’s do it together.\nA: Thanks a lot.\nB: Anytime!""",Asking for assistance with heavy lifting.
Asking for a Room Service Menu,"""A: Can I see the room service menu?\nB: Certainly, here it is.\nA: Thanks.\nB: Enjoy your meal!""",Requesting food options at a hotel.
Arranging a Pickup,"""A: Can you pick me up at 6 PM?\nB: Yes, where shall I meet you?\nA: Outside the mall entrance.\nB: Got it.""",Organizing a ride or pickup time.
Asking About Opening Times,"""A: When does the museum open?\nB: At 9 AM daily.\nA: Great, thanks.\nB: You’re welcome!""",Checking business hours.
Ordering at a Bakery,"""A: I’ll have two croissants and a coffee.\nB: Anything else?\nA: No, thanks.\nB: That will be $7.""",Buying baked goods and drinks.
Confirming a Concert Venue,"""A: Where is the concert taking place?\nB: At the downtown arena.\nA: Thanks for the info.\nB: Enjoy the show!""",Verifying concert location.
Asking for a Receipt,"""A: Could I have a receipt, please?\nB: Certainly, here it is.\nA: Thank you.\nB: You’re welcome.""",Requesting proof of purchase.
Asking for a Taxi Fare Estimate,"""A: How much to get to the airport by taxi?\nB: It usually costs around $40.\nA: Perfect, thank you.\nB: Have a good trip.""",Checking taxi fare before travel.
Asking for a Phone Charger,"""A: Do you have a phone charger I can borrow?\nB: Yes, here you go.\nA: Thanks so much.\nB: No problem!""",Borrowing a charger from someone.
Asking About a Visitor Pass,"""A: How do I get a visitor pass?\nB: Please show your ID at the security desk.\nA: Will do, thanks.\nB: You’re welcome.""",Getting permission to enter a building.
Asking for a Refund on a Cancelled Flight,"""A: My flight was cancelled. Can I get a refund?\nB: Yes, please fill out this form.\nA: Thank you.\nB: You’re welcome.""",Requesting a refund at the airline after cancellation.
Booking a Table for a Special Occasion,"""A: I’d like to reserve a table for two for our anniversary.\nB: Congratulations! What time would you prefer?\nA: 7 PM.\nB: Done.""",Making a special restaurant reservation.
Asking For a Movie Recommendation From Staff,"""A: What new movies would you recommend?\nB: The thrillerParasiteis fantastic.\nA: I’ll check it out.\nB: Enjoy!""",Requesting movie suggestions at a cinema.
Making a Complaint About a Late Train,"""A: The train was late again today.\nB: I apologize for the delay.\nA: This causes me to be late for work.\nB: We are working to improve service.""",Reporting public transportation delays.
Asking For Availability of Tickets,"""A: Are there any tickets left for tonight's game?\nB: Yes, a few seats are available.\nA: I’ll take two.\nB: Great.""",Buying last-minute sports event tickets.
Inquiring About a Lost Item,"""A: I lost my wallet here yesterday.\nB: Have you checked the lost and found?\nA: Not yet.\nB: I’ll call them now.""",Reporting and searching for lost belongings.
Asking for a Babysitting Service,"""A: Do you offer babysitting services?\nB: Yes, we do.\nA: Great, I need it for Saturday night.\nB: We’re available.""",Inquiring about childcare availability.
Meeting Someone at a Conference,"""A: Hi, I’m Alex from marketing.\nB: Nice to meet you, I’m Kelly from sales.\nA: Great to connect!\nB: Likewise.""",Networking introduction during a business event.
Discussing Allergies in a Restaurant,"""A: Does this dish contain dairy?\nB: No, it’s dairy-free.\nA: Perfect, I’m allergic.\nB: We take allergies seriously.""",Checking food ingredients due to allergies.
Asking for Directions to the Restroom,"""A: Where are the restrooms?\nB: Just down the hall to your left.\nA: Thanks!\nB: You’re welcome.""",Locating a bathroom in a public place.
Asking for Extra Napkins,"""A: Could I get some extra napkins, please?\nB: Sure, I’ll bring some right over.\nA: Thanks.\nB: No problem.""",Requesting additional table supplies at a restaurant.
Scheduling a Gym Trainer Session,"""A: I want to book a personal trainer.\nB: When would you like to start?\nA: Next Monday.\nB: You’re booked.""",Arranging fitness coaching appointments.
Returning a Library Book Late Fee Query,"""A: Do I have any late fees?\nB: Yes, $5.\nA: I’ll pay now.\nB: Thanks for taking care of it.""",Checking and paying library fines.
Booking a Table for a Business Lunch,"""A: I need a table for four for lunch tomorrow.\nB: What time would you like?\nA: Noon.\nB: Reservation confirmed.""",Making a reservation for a work lunch.
Asking For a Lost Passport Procedure,"""A: I lost my passport. What should I do?\nB: Report to the embassy immediately.\nA: Thanks for the advice.\nB: Stay safe.""",Seeking help after losing travel documents.
Asking to Change a Flight Date,"""A: Can I change my flight to next week?\nB: Let me see availability.\nA: Thanks.\nB: It’s done, no extra charge.""",Rescheduling airline tickets.
Ordering at a Fast Food Restaurant,"""A: I’ll have a cheeseburger and fries.\nB: Would you like a drink?\nA: Yes, a cola.\nB: Your order will be ready soon.""",Buying food quickly at a fast food outlet.
Asking for Computer Repair Estimates,"""A: How much to fix a broken screen?\nB: It’s usually $150.\nA: Okay, please repair.\nB: Will do.""",Requesting pricing for device repair.
Asking for Room Availability at a Hostel,"""A: Do you have a bed available tonight?\nB: We have one left.\nA: I’ll take it.\nB: Welcome.""",Booking budget accommodation.
Asking for Currency Exchange Rates,"""A: What’s the rate for euros today?\nB: 1 euro equals 1.10 dollars.\nA: Thanks.\nB: You’re welcome.""",Checking currency conversion rates at a bank or exchange.
Asking About Dietary Restrictions,"""A: Is this dish gluten-free?\nB: Yes, it is.\nA: Perfect, I need that.\nB: Enjoy your meal!""",Ensuring food meets dietary needs.
Celebrating a Promotion,"""A: Congratulations on your promotion!\nB: Thank you so much!\nA: You deserve it.\nB: I appreciate it.""",Offering congratulations at work.
Asking for Help with Smartphone Setup,"""A: Can you help me set up my new phone?\nB: Sure, let’s start.\nA: Thank you!\nB: Anytime.""",Getting help with technology setup.
Asking for Information on a Tour,"""A: What does the city tour include?\nB: Visits to museums and landmarks.\nA: Sounds great!\nB: Join us!""",Inquiring about sightseeing tour details.
Planning a Group Dinner,"""A: Should we make a reservation for five?\nB: Yes, to be safe.\nA: I’ll book a table.\nB: Thanks!""",Organizing dining plans with friends or colleagues.
Asking for a Taxi to a Hotel,"""A: Can you take me to the Grand Hotel?\nB: Sure, hop in.\nA: How long?\nB: About 15 minutes.""",Getting transportation from one place to another.
Asking About Gym Membership Benefits,"""A: What’s included in the membership?\nB: Access to all facilities and classes.\nA: Sounds good.\nB: Great!""",Learning about gym services before joining.
Buying Medication,"""A: I need something for a cold.\nB: Try these cough drops.\nA: Thanks.\nB: Feel better soon.""",Purchasing over-the-counter medicine.
Asking for Lost Luggage Assistance,"""A: My luggage hasn’t arrived. What should I do?\nB: Fill out this form.\nA: Okay, thank you.\nB: We’ll track it.""",Reporting missing bags at an airport.
Arranging Transportation for an Event,"""A: Can you arrange a shuttle to the event?\nB: Yes, what time?\nA: 5 PM.\nB: Shuttle booked.""",Organizing group travel for a function.
Asking For a Map at Tourist Center,"""A: Can I get a map of the city?\nB: Here you go.\nA: Thanks.\nB: Have a great visit!""",Requesting navigation help as a tourist.
Asking for Fire Escape Instructions,"""A: Where are the fire exits?\nB: At both ends of this hall.\nA: Thanks for the info.\nB: Stay safe.""",Learning safety procedures in a building.
Inquiring About a Package Delivery,"""A: Has my parcel arrived?\nB: Yes, it’s ready for pickup.\nA: Thanks!\nB: You’re welcome.""",Checking status of delivered goods.
Asking for Help with Lost Phone,"""A: I lost my phone here.\nB: We found one, is this it?\nA: Yes, thank you!\nB: Happy to help.""",Recovering a lost device in a public place.
Asking for a Hair Color Change,"""A: Can I change my hair color?\nB: Yes, what shade?\nA: Light brown.\nB: Let’s get started.""",Requesting a new hairstyle at a salon.
Asking for Parking Information,"""A: Is parking available here?\nB: Yes, it’s behind the building.\nA: How much?\nB: $5 per hour.""",Getting parking details at a business or venue.
Following Up on a Job Application,"""A: Any update on my job application?\nB: We’re still reviewing candidates.\nA: Thank you for the update.\nB: You’re welcome.""",Checking status after applying for a job.
Asking About a Product Return Policy,"""A: Can I return an unopened product?\nB: Yes, within 14 days.\nA: Thanks.\nB: No problem.""",Clarifying returns before making a purchase.
Asking For a Book Recommendation,"""A: Can you recommend a good novel?\nB: TryNorwegian Woodby Murakami.\nA: Sounds interesting.\nB: It is!""",Seeking suggestions for reading material.
Asking About Bus Stop Location,"""A: Where is the bus stop for route 10?\nB: Just outside the park entrance.\nA: Thanks!\nB: You’re welcome!""",Locating a bus stop in a neighborhood.
Asking for Extra Pillow,"""A: Could I get an extra pillow?\nB: I’ll bring one up.\nA: Thanks.\nB: Anytime!""",Requesting additional bedding in a hotel.
Asking About Lost Pet Procedures,"""A: I lost my dog. Where can I report it?\nB: At the animal shelter.\nA: Thank you.\nB: Hope you find him soon.""",Getting help to find a lost pet.
Asking for Directions in a Mall,"""A: Where is the food court?\nB: Go straight and then left.\nA: Thanks!\nB: Enjoy your meal!""",Finding locations inside shopping centers.
Checking Store Opening Days,"""A: Are you open on Sundays?\nB: Yes, from 10 AM to 4 PM.\nA: Perfect.\nB: See you then!""",Clarifying business days for shopping.
Complimenting Someone’s New Phone,"""A: That’s a nice phone.\nB: Thanks, just got it yesterday.\nA: It looks great.\nB: Appreciate it!""",Commenting on new technology a friend has.
Asking About Lost Item at Airport,"""A: I lost my suitcase. Can you help?\nB: Please fill out this lost luggage report.\nA: Thank you.\nB: We’ll contact you soon.""",Reporting lost luggage at an airport service desk.
Scheduling a Vaccination Appointment,"""A: I need to schedule a flu shot.\nB: We have openings Thursday morning.\nA: That works for me.\nB: You’re booked.""",Booking a vaccination appointment at a clinic.
Asking for Clothes Alteration,"""A: Can you shorten these pants?\nB: Yes, it will take two days.\nA: Perfect, thank you.\nB: You’re welcome.""",Requesting tailoring services.
Asking About School Enrollment,"""A: How do I enroll my child?\nB: Fill out this form and bring your ID.\nA: Thanks, I’ll do that.\nB: Welcome!""",Inquiring about school registration.
Asking for Help With a Flat Tire,"""A: My tire is flat, can you help?\nB: Sure, I’ll change it for you.\nA: Thank you very much.\nB: Anytime!""",Requesting roadside assistance.
Inquiring About a Wedding Dress,"""A: Do you have wedding dresses in stock?\nB: Yes, we do.\nA: Can I make an appointment?\nB: Of course, when?\nA: Tomorrow.""",Shopping for bridal wear and booking consultation.
Asking for Recipe Ingredients,"""A: What ingredients do I need for this soup?\nB: You need carrots, onions, and potatoes.\nA: Thanks!\nB: You’re welcome.""",Requesting cooking advice from a friend or chef.
Asking for Help Fixing a Computer,"""A: My laptop won’t start.\nB: I can take a look.\nA: Thank you so much.\nB: No problem, I’ll see what I can do.""",Seeking technical support for a computer problem.
Ordering Food for Takeout,"""A: I’d like to order two pizzas to go.\nB: What toppings?\nA: Pepperoni and mushrooms.\nB: Your order will be ready soon.""",Ordering takeout food by phone or in person.
Inquiring About Tourist Attractions,"""A: What are the must-see places here?\nB: The old town and the castle are great.\nA: Sounds perfect.\nB: Enjoy!""",Asking for sightseeing recommendations from a local.
Asking About Conference Schedule,"""A: What time does the keynote start?\nB: At 9 AM.\nA: Thanks for the info.\nB: Enjoy the conference.""",Getting event timing details at a conference.
Complaining About a Noisy Neighbor,"""A: My neighbor is very noisy at night.\nB: I’m sorry. We’ll address this.\nA: Thank you.\nB: We’ll keep you updated.""",Reporting a disturbance to a building manager.
Asking About Prescription Refills,"""A: Can I refill my prescription?\nB: Yes, do you have a card?\nA: Yes, here it is.\nB: Your refill is ready.""",Requesting medication refills at a pharmacy.
Asking for Directions at a Mall,"""A: Where is the shoe store?\nB: On the first floor near the escalator.\nA: Thanks!\nB: You’re welcome.""",Finding a specific store within a shopping mall.
Asking for a Discount on Bulk Purchase,"""A: Do you offer discounts for buying in bulk?\nB: Yes, 10% off for 10 or more.\nA: Great, I’ll take 10.\nB: Thank you!""",Negotiating pricing for large quantity orders.
Asking About Pet-Friendly Hotels,"""A: Is this hotel pet-friendly?\nB: Yes, small pets are allowed.\nA: Perfect, I have a dog.\nB: Welcome!""",Checking accommodation pet policies.
Asking to Extend a Hotel Stay,"""A: Can I extend my stay by one night?\nB: Let me check availability.\nA: Thanks.\nB: It’s confirmed.""",Requesting to stay longer at a hotel.
Asking About Symposium Registration,"""A: How do I register for the symposium?\nB: You can sign up online or at the entrance.\nA: Thank you.\nB: You’re welcome.""",Inquiring about event registration options.
Booking a Shuttle Service,"""A: Do you offer airport shuttle?\nB: Yes, every hour.\nA: Please book me for 5 PM.\nB: Done.""",Arranging shuttle transportation.
Asking For Bus Transfer Details,"""A: Where do I change buses for downtown?\nB: At Central Station.\nA: Thanks!\nB: Safe travels.""",Clarifying public transit connection points.
Asking For Help With Heavy Luggage,"""A: Could you help me with my suitcase?\nB: Sure, no problem.\nA: Thanks a lot.\nB: Happy to help.""",Requesting assistance at an airport or train station.
Asking About School Timings,"""A: What time does school start?\nB: At 8 AM, Monday to Friday.\nA: Good to know.\nB: Have a great day.""",Finding out academic schedules.
Asking For City Map at Tourist Info,"""A: Can I get a city map?\nB: Here you go.\nA: Thanks!\nB: Enjoy your stay!""",Getting navigation help as a visitor.
Asking for Car Rental Insurance,"""A: Is insurance included in the rental?\nB: Basic coverage is included.\nA: Good, thanks.\nB: Drive safely.""",Checking rental insurance options.
Reporting a Defective Rental Car,"""A: My rental car has a problem.\nB: We’ll send a mechanic right away.\nA: Thanks for the quick response.\nB: You’re welcome.""",Reporting issues with a rented vehicle.
Asking About Refund for Event Ticket,"""A: Can I get a refund for my concert ticket?\nB: Refunds are available up to 48 hours before.\nA: I see, thanks.\nB: You’re welcome.""",Requesting event ticket refund policy details.
Asking for Special Dietary Menu,"""A: Do you have vegan options?\nB: Yes, here is the menu.\nA: Thanks!\nB: Enjoy your meal.""",Looking for plant-based food options.
Asking About Tourist Guide Services,"""A: Are guided tours available?\nB: Yes, every day at 10 AM.\nA: I’d like to join one.\nB: Great, you’re booked.""",Booking guided walking tours.
Asking About Emergency Exits,"""A: Where are the emergency exits?\nB: At the end of every corridor.\nA: Thanks for the info.\nB: Stay safe!""",Learning safety information in a building.
Asking for Ticket Pickup Location,"""A: Where can I pick up my tickets?\nB: At the venue’s box office.\nA: Thank you.\nB: Enjoy the show!""",Clarifying ticket collection points for an event.
Asking to Change a Hotel Room,"""A: Can I switch to a room with a view?\nB: Let me check availability.\nA: Thanks.\nB: It’s available and reserved for you.""",Requesting a room upgrade or change.
Asking About Fitness Class Schedule,"""A: When are yoga classes held?\nB: Mondays and Thursdays at 6 PM.\nA: I’ll join the Thursday session.\nB: Perfect!""",Finding out fitness class timings.
Asking For Lost And Found Procedures,"""A: Where can I report a lost phone?\nB: At the lost and found office.\nA: Thanks.\nB: Hope you find it soon.""",Reporting lost items in public facilities.
Discussing Plans for a Group Trip,"""A: When are we leaving?\nB: The bus departs at 8 AM.\nA: Perfect.\nB: Don’t be late!""",Coordinating travel departure times.
Asking for Cash Back at a Store,"""A: Can I get cash back with my card?\nB: Yes, up to $50.\nA: I’ll take $30.\nB: Done.""",Requesting cash withdrawal at a point of sale.
